image_name, comment_number, comment
6555213067.jpg, 3, A bunch of kids in a classroom not doing any work .
6555213067.jpg, 4, A meeting in a room with six people .
6854823446.jpg, 0, A person wearing a helmet and riding suit is riding a four wheeler on a dusty plot of land .
6854823446.jpg, 1, A person on a dirty 4 wheeler driving through the dirt .
6854823446.jpg, 2, Man on ATV is making a large cloud of dust .
6854823446.jpg, 3, A quad rider kicking up dust in the jungle .
6854823446.jpg, 4, A man riding an ATV in dirt .
6886050898.jpg, 0, A defender is trying to block the shot of the opposing team during a water polo match .
6886050898.jpg, 1, A group of young asian men playing water volleyball .
6886050898.jpg, 2, A swimming pool with men tossing a ball around .
6886050898.jpg, 3, Men are playing with a volleyball in a pool .
6886050898.jpg, 4, Water polo player jumps high for the block !
6915121934.jpg, 0," A child soccer player jumps for the ball to prevent it from going into the net but , does not successfully accomplish his goal ."
6915121934.jpg, 1, Goalie reaching to block a soccer ball from going in the net .
6915121934.jpg, 2, A goal being scored at youth boy 's soccer game .
6915121934.jpg, 3, Boy blocking a the soccer ball from scoring .
6915121934.jpg, 4, gentleman making a play on a soccer ball
7259436202.jpg, 0," An elderly gentleman displays that he still has n't lost his knowledge of how to operate , with just a couple of horses and an old plow , free of automation ."
7259436202.jpg, 1, A brown horse with a white mane pulls a ploy with a man sitting on it in a field .
7259436202.jpg, 2, One black and one brown horse pulling a man in a white shirt on a old tractor .
7259436202.jpg, 3," Two horses , one black and one brown , are pulling a man outside ."
7259436202.jpg, 4, a older man tilling is farm with a two horse drawn tiller .
7333716086.jpg, 0," A man in a black , white , and red uniform is holding yellow ski poles and racing or preparing to race ."
7333716086.jpg, 1, A man in a black and white jersey is holding yellow ski poles and preparing to take off .
7333716086.jpg, 2, A man wearing a blue and white uniform clutching two yellow ski handles .
7333716086.jpg, 3," His eyes filled with joyous expectation , a skier prepares for a jump ."
7333716086.jpg, 4, A smiling athlete in a black and red helmet holding ski poles .
7423137882.jpg, 0, A skateboarder wearing gray pants and a white shirt is in mid-leap with one arm extended and the other holding his board .
7423137882.jpg, 1, A man in rollerblades with knee pads and a helmet on does a trick in the air .
7423137882.jpg, 2, A young male skateboarder is jumping from a great height onto a lower floor .
7423137882.jpg, 3, A skateboarder is landing a trick from a high place .
7423137882.jpg, 4, A person is jumping using rollerblades .
7520828522.jpg, 0, A man with a black t-shirt on with adidas written across the front and a woman with a white t-shirt on and a silver bangle on her left wrist sitting next to their bike on the ground in the park eating ice cream while people enjoy themselves all around them
7520828522.jpg, 1, A young couple sits in a part eating ice cream as children play and other people enjoy themselves around them .
7520828522.jpg, 2, Couple in park eating ice cream cones with three other adults and two children in background .
7520828522.jpg, 3, a couple enjoying ice cream outside on a nice day
7520828522.jpg, 4, A couple eats ice cream in the park .
755045922.jpg, 0, A man wearing a red Fez is riding a big green tractor and waving while a crowd mingles on the side of the street .
755045922.jpg, 1," In a parade , a man wearing a red hat and driving a yellow and green old-fashioned truck is waving at the crowd ."
755045922.jpg, 2, A man in a tall red hat is riding on a green tractor and waving to spectators .
755045922.jpg, 3, A shriner rides a large green tractor down the road during a parade .
755045922.jpg, 4, One veteran guy driving a green Oliver tractor in a parade .
7588236876.jpg, 0, There is a young child in play clothes playing with the sand using a plastic scoop and the calm water in the lake or ocean in the background .
7588236876.jpg, 1, A young girl scoops sand on a beach using a green toy shovel .
7588236876.jpg, 2, A little girl playing on the beach building a sand castle .
7588236876.jpg, 3, A cute child is playing in the sand at the beach
7588236876.jpg, 4, A Little Girl plays in the Sand on the Beach .
78308597.jpg, 0, A young woman in a pink outfit practices martial arts on a covered patio .
78308597.jpg, 1," A young woman is practicing martial arts , while wearing a pink outfit ."
78308597.jpg, 2, An Asian women is practicing martial arts in a pink uniform .
78308597.jpg, 3, A young lady is performing in some kind of martial arts .
78308597.jpg, 4, A young lady practicing karate outside on a day .
8008888211.jpg, 0, A blond female dressed in a revealing outfit is throwing white shirts into the crowd with her brunette coworker several feet behind her .
8008888211.jpg, 1," Crowd cheerleaders dressed in red , white , and blue smile as they pass out rolled up t-shirts to a full stadium of people ."
8008888211.jpg, 2," A woman with blond-hair wearing a red , white , and blue cheerleading outfit holds white t-shirt to pass out ."
8008888211.jpg, 3, A cheerleader in a tight red and white uniform is passing out white t-shirts at a sporting event .
8008888211.jpg, 4," A cheerleader wearing red , white and blue is standing with white towels in her hand ."
8111420340.jpg, 0, Two wrestlers competing on a mat in front of a crowd of onlookers .
8111420340.jpg, 1," Two young boys are in a wrestling match , on a mat ."
8111420340.jpg, 2, Two wrestlers competing for the win .
8111420340.jpg, 3, Two wrestlers competing in a match .
8111420340.jpg, 4, Wrestlers grapple on the floor .
897406883.jpg, 0, A toddler in a red jacket and jeans pulling another toddler wearing a green hat and jacket and red paints in a red wagon .
897406883.jpg, 1, A young boy pulls another boy wearing a silly hat in a radio flyer wagon .
897406883.jpg, 2, A toddler in dirty jeans attempts to pull a younger child in a wagon .
897406883.jpg, 3," One child pulls another , sitting in a red wagon , along the sand ."
897406883.jpg, 4, A child pulls another in a small wagon .
897621891.jpg, 0," A little boy underwater in a pool , holding a plastic dinosaur ."
897621891.jpg, 1, A little boy swimming underwater with a toy in his hand .
897621891.jpg, 2, A boy is swimming underwater holding a toy in his hand .
897621891.jpg, 3, Child swimming underwater with a toy in his hand .
897621891.jpg, 4, A little boy swims underwater .
984092829.jpg, 0, two loggers work on removing the bark from a tree in a field of wheat .
984092829.jpg, 1, Two white men outside on a sunny day by a tree .
984092829.jpg, 2, Two men use tools to rip bark off of a tree .
984092829.jpg, 3, Men doing tree surgery or looking for bees .
984092829.jpg, 4, Two men are using tools on this tree .
